sfp_step1,sfp_step2,AcpS_step1,Acps_step2
2118.564,2180.479,1923.02,1862.602
1679.478,1530.744,1584.968,1509.408
1486.96,1380.947,1713.694,1785.367
1566.708,1628.648,1275.431,1659.609
1268.141,1199.571,919.593,1204.199
1630.959,1610.389,1026.535,1380.351
2311.355,2376.399,1416.144,1702.643
1830.782,1894.662,1317.088,1486.025
2143.976,2239.256,1596.758,1632.327
1886.111,1749.161,1457.624,1470.884
2129.134,2195.53,1528.807,1508.746
1750.321,1674.123,1746.336,1724.656
1983.421,2065.1,1545.033,1535.13
1856.754,1950.875,1383.872,1404.91
1922.531,1999.366,1738.091,1745.104
2059.204,2109.785,1624.041,1627.201
1848.293,1944.929,1461.404,1503.306
2266.542,2231.781,1334.723,1489.585
2059.047,2054.841,1259.75,1443.629
1348.842,1291.146,1319.535,1465.321
2093.317,2015.593,1622.825,1837.663
2016.296,1941.652,1483.573,1743.17
1676.687,1656.157,1206.124,1496.229
1470.929,1435.567,1158.915,1574.686
1766.129,1729.43,1137.716,1625.7
1523.033,1470.06,1199.241,1651.722
1448.938,1407.409,1168.185,1432.247
1589.046,1548.651,1284.884,1374.513
1378.817,1329.8,1216.497,1255.522
1850.567,1789.87,1613.452,1649.969
1252.168,1158.285,1388.019,1376.951
1225.906,1163.782,1202.872,1211.58
1783.774,1749.429,1296.1,1523.672
1241.2,1190.097,969.948,1343.344
1357.423,1311.67,928.457,1294.423
1362.409,1306.823,993.557,1279.796
1929.128,1975.097,1240.196,1382.518
1314.365,1251.605,1261.514,1244.229
1357.708,1291.434,1354.964,1317.846
1262.565,1219.631,1338.797,1286.886
1546.189,1491.862,1350.209,1280.231
1317.147,1226.526,1282.16,1172.348
1322.046,1250.991,1307.155,1235.873
1394.641,1342.288,1400.779,1366.285
1991.807,1772.688,2188.816,1942.621
1367.067,1300.887,1316.801,1283.276
1340.652,1281.812,1503.158,1497.515
1444.414,1386.172,1385.623,1484.469
1263.053,1184.019,1160.916,1280.15
1468.499,1401.44,1355.492,1416.694
1257.054,1212.542,1272.895,1327.694
1635.657,1586.579,1371.32,1522.127
1554.659,1509.917,1170.145,1404.036
1386.839,1341.523,1017.915,1384.746
1374.305,1341.476,972.411,1403.832
1535.393,1525.324,862.862,1279.918
1466.639,1421.34,1000.077,1349.337
1437.848,1398.36,1246.598,1433.655
1482.409,1420.604,1215.156,1288.303
1465.859,1416.462,1414.099,1398.289
1222.845,1194.342,1143.909,1236.53
1619.016,1693.228,1085.143,1353.12
1215.482,1198.018,961.393,1370.094
1291.029,1227.293,854.3,1297.41
1301.739,1240.98,956.231,1279.044
1957.582,1939.114,1105.771,1263.044
1309.942,1238.972,1195.043,1211.625
1297.893,1242.164,1234.511,1219.02
1327.069,1264.339,1228.747,1158.159
1338.04,1293.301,1315.005,1254.691
1774.263,1736.815,1337.26,1252.923
1642.957,1546.766,1643.478,1561.213
2556.796,2319.307,1919.785,1844.603
1347.262,1284.055,1311.469,1253.431
1364.992,1277.946,1368.074,1290.987
1712.714,1635.531,1480.959,1420.444
1713.509,1645.735,1698.274,1634.825
1303.598,1263.011,1386.325,1380.43
1212.758,1168.299,1245.626,1249.13
1364.512,1315.758,1486.44,1466.307
1392.645,1360.742,1489.372,1496.339
1741.648,1690.552,1378.546,1424.485
1472.244,1402.519,1240.689,1385.795
1427.305,1374.133,1133.967,1415.663
1396.162,1337.562,968.395,1416.954
1628.242,1576.839,1109.932,1711.019
1353.696,1316.988,993.098,1492.723
1391.239,1355.593,1106.666,1468.257
1329.725,1305.566,1176.909,1364.734
1495.345,1439.581,1419.847,1478.701
1140.315,1169.609,973.1,1236.659
1498.23,1517.017,899.137,1255.935
1325.97,1269.654,937.44,1462.231
1257.786,1193.425,895.538,1307.48
1395.37,1320.437,1116.038,1362.081
2302.887,2158.686,2462.937,2515.218
1507.081,1450.009,1339.843,1285.988
1310.282,1254.52,1223.123,1144.061
2511.295,2391.397,1594.245,1428.471
1715.191,1659.893,1565.037,1471.724
1875.117,1836.608,1537.77,1479.819
1488.812,1418.891,1430.163,1398.191
1328.934,1267.657,1186.368,1139.499
1586.688,1508.985,1435.684,1341.207
1684.177,1587.345,1489.19,1401.904
1314.924,1260.295,1398.667,1336.808
2029.102,1895.008,2125.527,1945.678
1372.798,1337.757,1318.153,1252.983
1256.448,1229.244,1357.096,1313.569
2766.313,2576.937,2532.244,2375.943
1398.97,1367.267,1399.501,1339.731
1678.941,1632.663,1536.421,1535.257
1381.458,1340.615,1223.719,1265.196
1322.614,1280.212,1101.587,1324.059
1329.521,1286.187,1001.253,1404.669
1397.966,1363.612,895.533,1424.703
1411.198,1373.341,881.926,1425.752
1448.256,1409.28,977.211,1439.879
1512.889,1492.917,1116.893,1417.755
1501.967,1473.366,1196.604,1422.559
1821.87,1993.117,891.776,1338.66
1219.648,1140.112,760.847,1220.807
1428.806,1355.333,822.366,1283.947
1875.773,1820.641,1133.307,1523.412
1346.678,1292.871,1305.588,1410.484
1389.98,1340.481,1264.723,1256.769
1473.88,1401.107,1343.869,1253.286
1408.232,1350.449,1313.828,1258.105
1950.346,1946.616,1336.444,1294.519
1576.244,1527.645,1488.67,1445.004
1349.75,1296.802,1387.984,1381.348
1329.492,1287.149,1359.758,1358.534
