type,TS,row,col
sfp_1,1,B,12
sfp_1,1,B,14
sfp_1,1,B,16
sfp_1,1,B,17
sfp_1,1,B,26
sfp_1,1,B,27
sfp_1,1,B,28
sfp_1,1,B,30
sfp_1,1,C,1
sfp_1,1,C,2
sfp_1,1,C,3
sfp_1,1,C,4
sfp_1,1,C,5
sfp_1,1,C,6
sfp_1,1,C,7
sfp_1,1,C,8
sfp_1,1,C,9
sfp_1,1,C,10
sfp_1,1,C,11
sfp_1,1,C,12
sfp_1,1,C,14
sfp_1,1,C,15
sfp_1,1,C,16
sfp_1,1,C,18
sfp_1,1,C,20
sfp_1,1,C,22
sfp_1,1,C,23
sfp_1,1,C,24
sfp_1,1,C,25
sfp_1,1,C,26
sfp_1,1,C,28
sfp_1,1,C,30
sfp_1,1,D,2
sfp_1,1,D,4
sfp_1,1,D,6
sfp_1,1,D,7
sfp_1,1,D,8
sfp_1,1,D,10
sfp_1,1,D,11
sfp_1,1,D,12
sfp_1,1,D,14
sfp_1,1,D,16
sfp_1,1,D,17
sfp_1,1,D,18
sfp_1,1,D,22
sfp_1,1,D,23
sfp_1,1,D,24
sfp_1,1,D,28
sfp_1,1,D,30
sfp_1,1,E,2
sfp_1,1,E,3
sfp_1,1,E,4
sfp_1,1,E,6
sfp_1,1,E,8
sfp_1,1,E,10
sfp_1,1,E,12
sfp_1,1,E,13
sfp_1,1,E,14
sfp_1,1,E,16
sfp_1,1,E,20
sfp_1,1,E,22
sfp_1,1,E,26
sfp_1,1,E,28
sfp_1,1,E,30
sfp_1,1,F,1
sfp_1,1,F,2
sfp_1,1,F,3
sfp_1,1,F,4
sfp_1,1,F,6
sfp_1,1,F,8
sfp_1,1,F,10
sfp_1,1,F,12
sfp_1,1,F,13
sfp_1,1,F,14
sfp_1,1,F,16
sfp_1,1,F,18
sfp_1,1,F,20
sfp_1,1,F,22
sfp_1,1,F,24
sfp_1,1,F,25
sfp_1,1,F,28
sfp_1,1,F,29
sfp_1,1,F,30
sfp_1,1,G,2
sfp_1,1,G,3
sfp_1,1,G,4
sfp_1,1,G,6
sfp_1,1,G,8
sfp_1,1,G,10
sfp_1,1,G,12
sfp_1,1,G,14
sfp_1,1,G,15
sfp_1,1,G,19
sfp_1,1,G,20
sfp_1,1,G,22
sfp_1,1,G,23
sfp_1,1,G,24
sfp_1,1,G,26
sfp_1,1,G,28
sfp_1,1,G,30
sfp_1,1,H,2
sfp_1,1,H,4
sfp_1,1,H,6
sfp_1,1,H,7
sfp_1,1,H,8
sfp_1,1,H,10
sfp_1,1,H,13
sfp_1,1,H,14
sfp_1,1,H,20
sfp_1,1,H,24
sfp_1,1,H,26
sfp_1,1,H,30
sfp_1,1,I,2
sfp_1,1,I,4
sfp_1,1,I,6
sfp_1,1,I,8
sfp_1,1,I,10
sfp_1,1,I,11
sfp_1,1,I,12
sfp_1,1,I,14
sfp_1,1,I,18
sfp_1,1,I,22
sfp_1,1,I,24
sfp_1,1,I,26
sfp_1,1,I,28
sfp_1,1,I,29
sfp_1,1,J,2
sfp_1,1,J,4
sfp_1,1,J,6
sfp_1,1,J,8
sfp_1,1,J,12
sfp_1,1,J,16
sfp_1,1,J,18
sfp_1,1,J,20
sfp_1,1,J,22
sfp_1,1,J,26
AcpS_1,1,B,10
AcpS_1,1,B,12
AcpS_1,1,B,13
AcpS_1,1,B,14
AcpS_1,1,B,15
AcpS_1,1,B,16
AcpS_1,1,B,17
AcpS_1,1,B,27
AcpS_1,1,B,28
AcpS_1,1,B,30
AcpS_1,1,C,1
AcpS_1,1,C,2
AcpS_1,1,C,3
AcpS_1,1,C,4
AcpS_1,1,C,5
AcpS_1,1,C,6
AcpS_1,1,C,7
AcpS_1,1,C,8
AcpS_1,1,C,9
AcpS_1,1,C,10
AcpS_1,1,C,11
AcpS_1,1,C,12
