type,TS,row,col
sfp,1,B,1
sfp,1,B,3
sfp,1,B,5
sfp,1,B,7
sfp,1,B,18
sfp,1,B,19
sfp,1,B,20
sfp,1,B,22
sfp,1,B,23
sfp,1,B,25
sfp,1,C,19
sfp,1,C,29
sfp,1,D,13
sfp,1,D,21
sfp,1,D,29
sfp,1,G,5
sfp,1,I,3
sfp,1,I,25
sfp,1,J,17
AcpS,1,B,18
AcpS,1,B,19
AcpS,1,B,20
AcpS,1,B,21
AcpS,1,B,22
AcpS,1,B,23
AcpS,1,B,24
AcpS,1,C,19
AcpS,1,C,27
AcpS,1,D,13
AcpS,1,D,27
AcpS,1,F,7
AcpS,1,F,17
AcpS,1,F,19
AcpS,1,G,1
AcpS,1,G,27
AcpS,1,I,15
AcpS,1,J,13
AcpS,1,J,21
sfp,2,A,21
sfp,2,B,3
sfp,2,B,13
sfp,2,B,15
sfp,2,C,1
sfp,2,F,28
sfp,2,K,11
sfp,2,K,29
sfp,2,P,10
sfp,3,B,1
sfp,3,B,2
sfp,3,C,20
sfp,3,F,1
sfp,3,H,27
sfp,3,J,9
sfp,3,P,2
sfp,3,P,15
sfp,3,S,7
AcpS,3,B,1
AcpS,3,B,2
AcpS,3,F,1
AcpS,3,L,10
AcpS,3,M,9
AcpS,3,N,27
AcpS,3,P,2
AcpS,3,P,11
AcpS,3,P,15
AcpS,3,S,7
AcpS,3,S,18
sfp,4,B,7
sfp,4,B,15
sfp,4,C,2
sfp,4,C,6
sfp,4,C,11
sfp,4,C,12
sfp,4,C,13
sfp,4,D,6
sfp,4,D,9
sfp,4,D,20
sfp,4,E,19
sfp,4,J,18
sfp,4,L,30
sfp,4,N,21
sfp,4,O,3
sfp,4,P,13
sfp,4,P,17
sfp,4,P,20
sfp,4,R,8
sfp,4,T,5
AcpS,4,D,6
AcpS,4,D,20
AcpS,4,L,2
AcpS,4,L,17
AcpS,4,M,18
AcpS,4,N,21
AcpS,4,O,3
AcpS,4,P,13
AcpS,4,P,14
AcpS,4,P,20
AcpS,4,S,9
sfp,5,C,6
sfp,5,F,5
sfp,5,F,6
sfp,5,F,14
AcpS,5,B,12
AcpS,5,B,22
AcpS,5,C,6
AcpS,5,E,11
AcpS,5,G,17
AcpS,5,G,18
AcpS,5,J,27
