type,TS,row,col
sfp_1,1,B,12
sfp_1,1,B,14
sfp_1,1,B,16
sfp_1,1,B,17
sfp_1,1,B,26
sfp_1,1,B,27
sfp_1,1,B,28
sfp_1,1,B,30
sfp_1,1,C,1
sfp_1,1,C,2
sfp_1,1,C,3
sfp_1,1,C,4
sfp_1,1,C,5
sfp_1,1,C,6
sfp_1,1,C,7
sfp_1,1,C,8
sfp_1,1,C,9
sfp_1,1,C,10
sfp_1,1,C,11
AcpS_1,1,B,10
AcpS_1,1,B,12
AcpS_1,1,B,13
AcpS_1,1,B,14
AcpS_1,1,B,15
AcpS_1,1,B,16
AcpS_1,1,B,17
AcpS_1,1,B,27
AcpS_1,1,B,28
AcpS_1,1,B,30
AcpS_1,1,C,1
AcpS_1,1,C,2
AcpS_1,1,C,3
AcpS_1,1,C,4
AcpS_1,1,C,5
AcpS_1,1,C,6
AcpS_1,1,C,7
AcpS_1,1,C,8
AcpS_1,1,C,9
AcpS_1,1,C,10
AcpS_1,1,C,11
sfp_2,1,B,11
sfp_2,1,B,12
sfp_2,1,B,13
sfp_2,1,B,14
sfp_2,1,B,15
sfp_2,1,B,16
sfp_2,1,B,17
sfp_2,1,B,26
sfp_2,1,B,27
sfp_2,1,B,28
sfp_2,1,B,30
sfp_2,1,C,1
