type,TS,row,col
sfp_1,1,B,1
sfp_1,1,B,3
sfp_1,1,B,5
sfp_1,1,B,7
sfp_1,1,B,19
sfp_1,1,B,23
sfp_2,1,B,1
sfp_2,1,B,3
sfp_2,1,B,5
sfp_2,1,B,7
sfp_2,1,B,19
sfp_2,1,B,20
sfp_2,1,B,23
AcpS_1,1,B,1
AcpS_1,1,B,3
AcpS_1,1,B,18
AcpS_1,1,B,19
AcpS_1,1,B,23
AcpS_1,1,F,26
AcpS_1,1,I,15
AcpS_2,1,B,1
AcpS_2,1,B,3
AcpS_2,1,B,8
AcpS_2,1,B,23
AcpS_2,1,F,9
AcpS_2,1,H,1
AcpS_2,1,I,3
AcpS_2,1,G,27
sfp_1,2,C,1
sfp_1,2,E,24
sfp_1,2,G,14
sfp_1,2,H,2
sfp_1,2,H,4
sfp_1,2,H,8
sfp_1,2,H,18
sfp_1,2,H,20
sfp_1,2,I,23
sfp_1,2,J,17
sfp_1,2,K,23
sfp_1,2,P,11
sfp_1,2,P,29
sfp_1,2,T,14
sfp_2,2,B,1
sfp_2,2,B,3
sfp_2,2,B,15
sfp_2,2,F,28
sfp_2,2,H,8
sfp_2,2,H,18
sfp_2,2,K,11
sfp_2,2,K,14
sfp_2,2,K,29
sfp_2,2,P,11
sfp_1,3,A,26
sfp_1,3,A,27
sfp_1,3,B,2
sfp_1,3,L,10
sfp_1,3,O,29
sfp_1,3,P,11
sfp_1,3,S,18
sfp_2,3,B,2
sfp_2,3,M,9
sfp_2,3,N,27
sfp_2,3,P,15
sfp_2,3,Q,18
AcpS_1,3,A,25
AcpS_1,3,A,26
AcpS_1,3,A,27
AcpS_1,3,A,28
AcpS_1,3,B,2
AcpS_1,3,M,9
AcpS_1,3,P,15
AcpS_2,3,B,2
AcpS_2,3,M,9
AcpS_2,3,N,27
AcpS_2,3,P,11
AcpS_2,3,P,15
