"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"result.1",1,1,0,0,0.999999999999989,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0.999999999999999,0,1,1,0,1,0,0,1,0,0.999999999999999,0,0,0,1,1,0,1,1,1,0.999999999999997,0.999999999999999,1,1,0,1,0,0,1,0,1,1,0.999999999999933,0,1,1,1,1,0,0.999999999999997,1,0.999999999999999,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0
"result.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"result.3",0.999999985573829,0,0.999835302336328,0.999998642127502,0,0.999963129011225,0.999829395200736,0.999998411678166,0.999172697452213,0.999752750282051,0,0,0.99994525323716,0,0,0.999967861661938,0,0.196979231377672,0,0,0,0,0,0,0,0,0,0.999928173410237,0,0,0,0,0,0.999999548184426,0,0,0,0,0,0,0.999570011985255,0.999489585705897,0,0,0,0.999780573062811,0.999997209825518,0,0,0,0,0.999972363489085,0,0,0.99999864446554,0.999999944466695,0.998976294803571,0,0,0.999853486838739,0,0,0.999477140071069,0,0.999997697550101,0.975374323147113,0,0,0,0.999996203176661,0.99999900530116,0,0,0,0,0,0,0,0,0.999996554900516,0.999893503127596,0.999335971391076,0.999997228407876,0.99739036956235,0,0.999883924728254,0,0,0,0,0,0.999997752278015,0.998471110615219,0.999965758737889,0,0.999993055974238,0,0.987217076890067,0.999999507991036,0
"result.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999585426452362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999884206529818,0,0,0,0,0,0,0,0.997690368001866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332961636871699
"result.5",1,1,1,0,0,1,0,1,1,1,1,1,0,0.999999999999998,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0.999999999999932,1,0,1,0,0.999999999999999,1,1,1,1,1,1,0.999999999999999,1,1,1,1,0,0.999999999999998,1,1,0,1,1,0,1,1,0.999999999999998,1,1,0,1,0.999999999999998,1,0.999999999999999,1,0,1,0,1,0,1,0.999999999999985,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
"result.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551524854702845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999980423659319,0,0,0,0,0,0,0,0,0,0.961535328596374,0,0,0,0,0,0,0,0,0,0,0.999955743054035,0,0,0,0,0,0
"result.7",0.995075086999997,0,0,0,0,0,0.999964520041372,0,0.615125295979087,0,0,0,0,0,0,0.816967101416956,0,0,0,0,0,0.0756492097673945,0,0,0.999853814458828,0,0,0,0,0,0,0.999438330536742,0,0,0,0,0,0.058635610775797,0,0,0.98945084759598,0,0,0.139307491095732,0.031796517054489,0.550910927148537,0,0,0,0,0,0,0,0,0,0,0,0,0.115015164919724,0,0.997206997667267,0,0,0,0,0,0.0454743340772988,0,0,0,0.995602647161803,0,0,0,0,0,0,0,0,0,0.00823241634575193,0.603323930059,0.988829628314413,0,0,0,0,0.987870958980162,0,0,0,0,0,0,0,0,0,0.9541197561943,0.998510856690197,0
"result.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232719066095389,0,0,0,0.0344121215689178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2690178872844e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041065941309805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000689358494433972,0,0,0
"result.10",0,0,0,0,0,0,0.999933698519877,0,0,0,0.999995986485858,0,0,0.999885378065177,0,0,0,0,0,0,0,0,0.999999764767621,0.999846258460392,0.999999395698614,0,0,0,0,0,0.999790375016156,0,0.999995282981307,0.999825856246356,0,0.999999444072943,0,0.999986846990832,0,0,0,0,0,0,0,0,0,0.999986595457572,0,0,0,0,0,0,0,0,0.999775428617318,0,0.969599658077589,0.995695325616112,0,0,0.999960409128646,0.999998594015005,0,0,0.999927154890982,0,0,0,0,0.999940577197921,0,0,0,0,0,0,0,0.999627425372024,0,0.999935709440329,0,0,0.999998873671637,0,0,0,0,0.999999990267155,0.999625264223917,0,0,0,0.999911438521858,0,0,0,0.985161972525825,0.985624216312914
