,prob.test2,prob,,prob.test2,prob,,prob.test2,prob
1,0.999999919,0.96409693,,0.999999919,0.96409693,,0.999999919,0.96409693
2,0.999999989,0.943219639,,0.999999989,0.943219639,,0.999999989,0.943219639
3,0.999995115,0.959778764,,0.999995115,0.959778764,,0.999995115,0.959778764
4,1,0.942658037,,1,0.942658037,,1,0.942658037
5,0.999999998,0.989713917,,0.999999998,0.989713917,,0.999999998,0.989713917
6,0.999999998,0.937746733,,0.999999998,0.937746733,,0.999999998,0.937746733
7,0.999999999,0.99977312,,0.999999999,0.99977312,,0.999999999,0.99977312
8,0.998608849,0.904791403,,0.998608849,0.904791403,,0.998608849,0.904791403
9,0.999999945,0.879351158,,0.999999945,0.879351158,,0.999999945,0.879351158
10,0.999999968,0.991676047,,0.999999968,0.991676047,,0.999999968,0.991676047
11,0.999999785,0.939373194,,0.999999785,0.939373194,,0.999999785,0.939373194
12,0.999906844,0.960635034,,0.999906844,0.960635034,,0.999906844,0.960635034
13,0.999425223,0.582288637,,0.999425223,0.582288637,,0.999425223,0.582288637
14,0.999999999,0.995313141,,0.999999999,0.995313141,,0.999999999,0.995313141
15,0.999999991,0.895297686,,0.999999991,0.895297686,,0.999999991,0.895297686
16,1,0.985085537,,1,0.985085537,,1,0.985085537
17,1,0.978159152,,1,0.978159152,,1,0.978159152
18,0.999999728,0.996807612,,0.999999728,0.996807612,,0.999999728,0.996807612
19,0.999992285,0.995053551,,0.999992285,0.995053551,,0.999992285,0.995053551
20,0.999988206,0.947292469,,0.999988206,0.947292469,,0.999988206,0.947292469
21,0.999999321,0.976533506,,0.999999321,0.976533506,,0.999999321,0.976533506
22,0.999999989,0.994624152,,0.999999989,0.994624152,,0.999999989,0.994624152
23,0.999999981,0.96872008,,0.999999981,0.96872008,,0.999999981,0.96872008
24,0.999999964,0.994110964,,0.999999964,0.994110964,,0.999999964,0.994110964
25,0.999999912,0.975687499,,0.999999912,0.975687499,,0.999999912,0.975687499
26,0.999999996,0.982819356,,0.999999996,0.982819356,,0.999999996,0.982819356
27,0.999999874,0.941199674,,0.999999874,0.941199674,,0.999999874,0.941199674
28,0.999999991,0.991143735,,0.999999991,0.991143735,,0.999999991,0.991143735
29,0.999999895,0.997785899,,0.999999895,0.997785899,,0.999999895,0.997785899
30,0.999988211,0.992618943,,0.999988211,0.992618943,,0.999988211,0.992618943
31,0.999999488,0.986867157,,0.999999488,0.986867157,,0.999999488,0.986867157
32,0.999999894,0.986994056,,0.999999894,0.986994056,,0.999999894,0.986994056
33,0.999998797,0.915265012,,0.999998797,0.915265012,,0.999998797,0.915265012
34,0.999999997,0.964319171,,0.999999997,0.964319171,,0.999999997,0.964319171
35,0.999947452,0.862206728,,0.999947452,0.862206728,,0.999947452,0.862206728
36,0.96995245,0.765330101,,0.96995245,0.765330101,,0.96995245,0.765330101
