,prob.test2,prob,,prob.test2,prob,,prob.test2,prob,,prob.test2,prob
1,0.999999919,0.96409693,,0.999999919,0.96409693,,0.999117796,0.724629222,,0.999999919,0.96409693
2,0.999999989,0.943219639,,0.999999989,0.943219639,,0.996803401,0.613800765,,0.999999989,0.943219639
3,0.999995115,0.959778764,,0.999995115,0.959778764,,0.910974713,0.552651695,,0.999995115,0.959778764
4,1,0.942658037,,1,0.942658037,,0.999999987,0.871148576,,1,0.942658037
5,0.999999998,0.989713917,,0.999999998,0.989713917,,0.991188038,0.661309731,,0.999999998,0.989713917
6,0.999999998,0.937746733,,0.999999998,0.937746733,,0.999999164,0.933814144,,0.999999998,0.937746733
7,0.999999999,0.99977312,,0.999999999,0.99977312,,0.747710541,0.628259614,,0.999999999,0.99977312
8,0.998608849,0.904791403,,0.998608849,0.904791403,,0.994133513,0.719737532,,0.998608849,0.904791403
9,0.999999945,0.879351158,,0.999999945,0.879351158,,0.899386568,0.399371093,,0.999999945,0.879351158
10,0.999999968,0.991676047,,0.999999968,0.991676047,,0.999771631,0.491739074,,0.999999968,0.991676047
11,0.999999785,0.939373194,,0.999999785,0.939373194,,0.999983273,0.901082005,,0.999999785,0.939373194
12,0.999906844,0.960635034,,0.999906844,0.960635034,,0.998298717,0.485587326,,0.999906844,0.960635034
13,0.999425223,0.582288637,,0.999425223,0.582288637,,0.990380094,0.687722807,,0.999425223,0.582288637
14,0.999999999,0.995313141,,0.999999999,0.995313141,,0.999909091,0.616476224,,0.999999999,0.995313141
15,0.999999991,0.895297686,,0.999999991,0.895297686,,0.999985749,0.759271815,,0.999999991,0.895297686
16,1,0.985085537,,1,0.985085537,,0.961311698,0.720200145,,1,0.985085537
17,1,0.978159152,,1,0.978159152,,0.999890567,0.716178566,,1,0.978159152
18,0.999999728,0.996807612,,0.999999728,0.996807612,,0.999999993,0.829030044,,0.999999728,0.996807612
19,0.999992285,0.995053551,,0.999992285,0.995053551,,0.991352978,0.492459843,,0.999992285,0.995053551
20,0.999988206,0.947292469,,0.999988206,0.947292469,,0.999988862,0.847792674,,0.999988206,0.947292469
21,0.999999321,0.976533506,,0.999999321,0.976533506,,0.999999692,0.607253883,,0.999999321,0.976533506
22,0.999999989,0.994624152,,0.999999989,0.994624152,,0.999712738,0.85575394,,0.999999989,0.994624152
23,0.999999981,0.96872008,,0.999999981,0.96872008,,0.786723091,0.676970753,,0.999999981,0.96872008
24,0.999999964,0.994110964,,0.999999964,0.994110964,,0.995030372,0.77434637,,0.999999964,0.994110964
25,0.999999912,0.975687499,,0.999999912,0.975687499,,0.99996476,0.805692076,,0.999999912,0.975687499
26,0.999999996,0.982819356,,0.999999996,0.982819356,,0.994229354,0.492809822,,0.999999996,0.982819356
27,0.999999874,0.941199674,,0.999999874,0.941199674,,0.999999726,0.839816732,,0.999999874,0.941199674
28,0.999999991,0.991143735,,0.999999991,0.991143735,,0.999721219,0.473044755,,0.999999991,0.991143735
29,0.999999895,0.997785899,,0.999999895,0.997785899,,0.998370217,0.709018621,,0.999999895,0.997785899
30,0.999988211,0.992618943,,0.999988211,0.992618943,,0.999999993,0.807804469,,0.999988211,0.992618943
31,0.999999488,0.986867157,,0.999999488,0.986867157,,0.997518791,0.847044846,,0.999999488,0.986867157
32,0.999999894,0.986994056,,0.999999894,0.986994056,,0.999996383,0.7855208,,0.999999894,0.986994056
33,0.999998797,0.915265012,,0.999998797,0.915265012,,0.999290674,0.911084517,,0.999998797,0.915265012
34,0.999999997,0.964319171,,0.999999997,0.964319171,,0.999999999,0.863328022,,0.999999997,0.964319171
35,0.999947452,0.862206728,,0.999947452,0.862206728,,0.881352734,0.367947732,,0.999947452,0.862206728
36,0.96995245,0.765330101,,0.96995245,0.765330101,,0.999539119,0.616574914,,0.96995245,0.765330101
37,0.999999982,0.998280922,,0.999999982,0.998280922,,0.754747717,0.828885637,,0.999999982,0.998280922
38,0.999999833,0.820239549,,0.999999833,0.820239549,,0.999853308,0.884212957,,0.999999833,0.820239549
39,0.999999953,0.937715761,,0.999999953,0.937715761,,0.9958459,0.529731893,,0.999999953,0.937715761
40,0.999999987,0.999340013,,0.999999987,0.999340013,,0.999992041,0.711882286,,0.999999987,0.999340013
41,0.999999988,0.992137088,,0.999999988,0.992137088,,0.998478281,0.601513712,,0.999999988,0.992137088
42,0.999999734,0.893850418,,0.999999734,0.893850418,,0.997917349,0.720878338,,0.999999734,0.893850418
43,0.999999817,0.968453283,,0.999999817,0.968453283,,0.970327537,0.702812246,,0.999999817,0.968453283
44,0.999996211,0.823199892,,0.999996211,0.823199892,,0.884420297,0.396355837,,0.999996211,0.823199892
45,0.999999955,0.944884242,,0.999999955,0.944884242,,0.91787281,0.577853725,,0.999999955,0.944884242
46,0.999993208,0.862216083,,0.999993208,0.862216083,,0.873895557,0.425786185,,0.999993208,0.862216083
47,0.998591898,0.659370697,,0.998591898,0.659370697,,0.999999996,0.973177384,,0.998591898,0.659370697
48,0.999996657,0.972557348,,0.999996657,0.972557348,,0.999999832,0.836520294,,0.999996657,0.972557348
49,0.999999988,0.976187173,,0.999999988,0.976187173,,0.999945883,0.760078437,,0.999999988,0.976187173
50,0.99969333,0.852665688,,0.99969333,0.852665688,,0.999982671,0.663740259,,0.99969333,0.852665688
51,1.56E-14,0.000646793,,1.56E-14,0.000646793,,4.14E-15,0.007688723,,1.56E-14,0.000646793
52,5.71E-14,0.000517205,,5.71E-14,0.000517205,,4.35E-15,0.051226904,,5.71E-14,0.000517205
53,5.72E-12,8.21E-05,,5.72E-12,8.21E-05,,8.18E-14,0.020700378,,5.72E-12,8.21E-05
54,4.08E-13,0.000542324,,4.08E-13,0.000542324,,4.11E-12,0.058294621,,4.08E-13,0.000542324
55,3.47E-16,2.66E-07,,3.47E-16,2.66E-07,,1.84E-15,0.00341281,,3.47E-16,2.66E-07
56,1.28E-15,7.36E-08,,1.28E-15,7.36E-08,,6.04E-16,0.020457639,,1.28E-15,7.36E-08
57,3.29E-14,9.31E-05,,3.29E-14,9.31E-05,,1.46E-14,0.001799559,,3.29E-14,9.31E-05
58,8.68E-13,0.000647634,,8.68E-13,0.000647634,,1.47E-16,0.013602705,,8.68E-13,0.000647634
59,1.67E-14,2.49E-05,,1.67E-14,2.49E-05,,4.40E-10,0.035088658,,1.67E-14,2.49E-05
60,1.30E-15,5.02E-06,,1.30E-15,5.02E-06,,1.98E-14,0.006327196,,1.30E-15,5.02E-06
61,3.61E-12,7.98E-05,,3.61E-12,7.98E-05,,6.71E-15,0.000612102,,3.61E-12,7.98E-05
62,1.19E-12,8.19E-06,,1.19E-12,8.19E-06,,6.68E-12,0.023615805,,1.19E-12,8.19E-06
63,1.37E-19,1.54E-08,,1.37E-19,1.54E-08,,2.87E-11,0.001923929,,1.37E-19,1.54E-08
