,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
1,0.187581663,0.182057675,0.182116469,0.18400411,0.184963249,0.186731926,0.188315383,0.188998445,0.189537478,0.190585497,0.191079106,0.191529834,0.191905599,0.192036571,0.192516576,0.192616955,0.192781729,0.192742054,0.192677026,0.192811104,0.192849118,0.192940453,0.192581346,0.192832343,0.192525533,0.192587641,0.19244926,0.192265904,0.1921418,0.192216815,0.191954705,0.191644106,0.191467368,0.191163166,0.190912425,0.190745773,0.190441598,0.190249282,0.189848507
2,0.195503568,0.189878189,0.185964317,0.184815907,0.184631678,0.185228195,0.186063749,0.18761072,0.18798349,0.189094416,0.189696878,0.190613663,0.191189197,0.191455924,0.191775646,0.192396827,0.192551638,0.192709854,0.192702986,0.193024415,0.193270226,0.19298803,0.193348681,0.193440419,0.19325851,0.193302713,0.193026579,0.192854916,0.192888035,0.192817426,0.192739902,0.192714974,0.192271444,0.192371006,0.192092668,0.191880793,0.191483415,0.191352931,0.191074274
3,0.197740313,0.194029004,0.191832373,0.189461299,0.187875731,0.187841649,0.187588521,0.188114453,0.188449335,0.188970361,0.18959462,0.190088523,0.190589629,0.191337424,0.1916924,0.191814078,0.19246593,0.192504226,0.192712103,0.193171689,0.193207013,0.193636106,0.193662534,0.193448454,0.193462306,0.193568722,0.193413297,0.19350357,0.193494891,0.193418937,0.193323104,0.193501525,0.19307414,0.193108544,0.192944402,0.192590156,0.192560772,0.19215963,0.191910983
4,0.199414146,0.195428975,0.194023811,0.192879397,0.192064517,0.191136451,0.190182116,0.189780831,0.189965295,0.190145683,0.190518105,0.191076464,0.19119984,0.191601189,0.191909723,0.192239503,0.192692599,0.193056516,0.193148128,0.193360171,0.193540367,0.193803063,0.19376498,0.193689943,0.193986537,0.194272862,0.193788245,0.19409261,0.193995835,0.193925861,0.193989454,0.193914259,0.19366224,0.193496279,0.193558253,0.193302881,0.193278464,0.193295373,0.193213946
5,0.200363113,0.196328485,0.195031754,0.194369937,0.194116407,0.193903042,0.192921401,0.192316483,0.19194879,0.192092345,0.192105407,0.192263655,0.192232128,0.19253739,0.192967892,0.193074423,0.193293512,0.193769579,0.19391197,0.194036536,0.19414919,0.194608277,0.19469075,0.194640908,0.194684214,0.194680656,0.194707509,0.194927152,0.194996432,0.194715149,0.194873211,0.194552307,0.194782449,0.194870357,0.194410222,0.194319138,0.194409255,0.194278766,0.194086968
6,0.201263462,0.197106424,0.196387187,0.195597413,0.195622614,0.195537043,0.195257527,0.194538114,0.19441224,0.194066167,0.193650935,0.193932332,0.19375898,0.194260233,0.193889096,0.194013792,0.194448609,0.194789939,0.194979756,0.195018204,0.195117968,0.195204361,0.195639232,0.195446897,0.195669469,0.1956481,0.195720393,0.195646419,0.195807243,0.195613879,0.195719871,0.195406401,0.195433321,0.195461506,0.195581629,0.195497349,0.195389325,0.195372499,0.195240822
7,0.201564509,0.198233555,0.196221959,0.196421354,0.196765156,0.196573348,0.197193794,0.196489337,0.196168159,0.19615907,0.195889333,0.195648892,0.195201975,0.195328734,0.195626011,0.195683713,0.195684799,0.196000013,0.195749958,0.196155601,0.196537566,0.196405079,0.196650829,0.196441683,0.196726426,0.196812159,0.196700341,0.196586224,0.196485258,0.196561286,0.196702394,0.196560615,0.196740031,0.196648583,0.196476876,0.196573431,0.196401348,0.196275501,0.196181817
8,0.202578203,0.19827365,0.197068343,0.196840363,0.19707951,0.197689744,0.197589823,0.197936978,0.198098592,0.19782028,0.19781225,0.19745932,0.196890371,0.197151646,0.196783479,0.197130377,0.19712584,0.19709435,0.197453024,0.197210732,0.197147588,0.197378172,0.197409294,0.197352486,0.197899599,0.197307525,0.19781031,0.197738407,0.197847332,0.197881849,0.197795138,0.197761423,0.197423131,0.197631413,0.197543139,0.197589271,0.197572367,0.197548958,0.197143885
9,0.202807896,0.199148339,0.197300731,0.197280396,0.197858501,0.198244762,0.198523875,0.198793992,0.199051069,0.198997494,0.19914574,0.199358745,0.198771677,0.198395585,0.198628835,0.198220445,0.198392973,0.198100032,0.198353391,0.198095888,0.198514366,0.198395583,0.198375046,0.198613851,0.198537584,0.198538997,0.198860994,0.198487119,0.198558558,0.198614057,0.198957545,0.198812209,0.198716031,0.198515747,0.198530391,0.198414865,0.198400391,0.198504912,0.19832068
10,0.203313092,0.199336159,0.198113174,0.197744533,0.198059023,0.198382903,0.199280184,0.199748567,0.199941128,0.200347097,0.200543711,0.200154505,0.200693407,0.200076005,0.200031839,0.199571263,0.199698849,0.199950569,0.199505032,0.199662886,0.199701334,0.199800212,0.199898017,0.199572849,0.199856539,0.199659802,0.199969432,0.199595046,0.20001188,0.199710527,0.200003902,0.199767773,0.199636349,0.199726478,0.199635105,0.199640904,0.19947389,0.199396467,0.199492471
11,0.203993561,0.199923873,0.197716413,0.197817212,0.198242516,0.199376476,0.200112199,0.200536956,0.200997246,0.201167863,0.20137517,0.201287937,0.201677012,0.201612125,0.201666795,0.201392545,0.20142874,0.200908446,0.200808638,0.20111025,0.200890803,0.201063899,0.200887374,0.200634452,0.200808287,0.200656142,0.200691048,0.201094278,0.201092008,0.200860316,0.200768416,0.200653447,0.200616182,0.200862505,0.200619658,0.200690805,0.200558398,0.200440884,0.200348638
12,0.204539595,0.199481912,0.198108541,0.198294669,0.199009844,0.199214457,0.200517224,0.20101902,0.201951402,0.202440811,0.202815553,0.202673544,0.203104613,0.202989247,0.202671659,0.202805706,0.202945607,0.202630906,0.202290418,0.202436465,0.202420891,0.202066923,0.201884455,0.202193187,0.202274964,0.202019869,0.201991962,0.202320284,0.202031768,0.202065852,0.201915007,0.201784746,0.201929649,0.201841982,0.201751598,0.201775864,0.201743166,0.201684513,0.201667328
13,0.204561403,0.200099951,0.198817129,0.198236621,0.199101244,0.199780189,0.20079937,0.201671803,0.202350628,0.202934841,0.203592639,0.204119815,0.204000022,0.204002552,0.204113107,0.204246215,0.204149686,0.203889749,0.204010113,0.204035201,0.203805658,0.203683396,0.203775586,0.203384962,0.203290222,0.203556966,0.203386083,0.203454233,0.203279015,0.203200912,0.203204345,0.203139362,0.203016958,0.202899047,0.202891756,0.202949627,0.202747603,0.202678271,0.202789619
