"","Gamma_0=10","Gamma_0=100","Gamma_0=1000","Gamma_0=10000","Gamma_0=1e+05"
"Gamma_1=0.05",0.527261235955056,0.648469101123595,0.661299157303371,0.646643258426966,0.634248595505618
"Gamma_1=0.1",0.522275280898876,0.647169943820225,0.668033707865169,0.648988764044944,0.636460674157303
"Gamma_1=0.15",0.526573033707865,0.650561797752809,0.669115168539326,0.648441011235955,0.637900280898876
"Gamma_1=0.2",0.525912921348315,0.646769662921348,0.670414325842697,0.646762640449438,0.637366573033708
"Gamma_1=0.25",0.525203651685393,0.641629213483146,0.671636235955056,0.645266853932584,0.635070224719101
"Gamma_1=0.3",0.525182584269663,0.643497191011236,0.668307584269663,0.644578651685393,0.634044943820225
"Gamma_1=0.35",0.525182584269663,0.639943820224719,0.668476123595506,0.643433988764045,0.634936797752809
"Gamma_1=0.4",0.525168539325843,0.631580056179775,0.668581460674157,0.639424157303371,0.634143258426966
"Gamma_1=0.45",0.525168539325843,0.633209269662921,0.670280898876405,0.639115168539326,0.633883426966292
"Gamma_1=0.5",0.525154494382022,0.629016853932584,0.670126404494382,0.639164325842697,0.629712078651685
