"","Gamma","pred_error"
"1",0.05,0.224844890304391
"2",0.1,0.273549634392015
"3",0.15,0.293818892208481
"4",0.2,0.303024313565771
"5",0.25,0.307779654031429
"6",0.3,0.310216739557927
"7",0.35,0.312472537922449
"8",0.4,0.313428527026374
"9",0.45,0.314181644337438
"10",0.5,0.315185763112998
"11",0.55,0.315411078725139
"12",0.6,0.315350189907228
"13",0.65,0.315331727728876
"14",0.7,0.315743728429128
"15",0.75,0.315738979685399
"16",0.8,0.315934691685289
"17",0.85,0.31567387534806
"18",0.9,0.315496330007197
"19",0.95,0.315050642926468
"20",1,0.314663297202067
