,x
1,0.000
2,0.000
3,0.001
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.102
10,0.864
11,0.093
12,0.841
13,0.093
14,0.802
15,0.087
16,0.781
17,0.081
18,0.763
19,0.079
20,0.754
21,0.078
22,0.744
23,0.077
24,0.738
25,0.073
26,0.733
27,0.071
28,0.727
29,0.071
30,0.693
31,0.070
32,0.650
33,0.069
34,0.648
35,0.068
36,0.648
37,0.067
38,0.643
39,0.066
40,0.630
41,0.066
42,0.618
43,0.066
44,0.615
45,0.065
46,0.613
47,0.064
48,0.608
49,0.062
50,0.574
51,0.062
52,0.571
53,0.061
54,0.569
55,0.061
56,0.567
57,0.061
58,0.563
59,0.060
60,0.560
61,0.059
62,0.557
63,0.059
64,0.555
65,0.058
66,0.554
67,0.058
68,0.546
69,0.058
70,0.546
71,0.058
72,0.527
73,0.057
74,0.524
75,0.057
76,0.523
77,0.057
78,0.519
79,0.057
80,0.516
81,0.057
82,0.507
83,0.056
84,0.507
85,0.056
86,0.505
87,0.055
88,0.504
89,0.055
90,0.504
91,0.055
92,0.492
93,0.055
94,0.491
95,0.055
96,0.489
97,0.055
98,0.481
99,0.055
100,0.480
101,0.055
102,0.479
103,0.055
104,0.471
105,0.054
106,0.459
107,0.054
108,0.458
109,0.053
110,0.455
111,0.052
112,0.453
113,0.052
114,0.447
115,0.052
116,0.444
117,0.052
118,0.444
119,0.052
120,0.441
121,0.052
122,0.439
123,0.052
124,0.437
125,0.051
126,0.436
127,0.051
128,0.436
129,0.051
130,0.435
131,0.050
132,0.435
133,0.050
134,0.434
135,0.050
136,0.433
137,0.050
138,0.433
139,0.050
140,0.427
141,0.049
142,0.427
143,0.049
144,0.425
145,0.049
146,0.425
147,0.049
148,0.424
149,0.049
150,0.424
151,0.049
152,0.419
153,0.049
154,0.417
155,0.048
156,0.417
157,0.048
158,0.416
159,0.048
160,0.413
161,0.048
162,0.409
163,0.048
164,0.408
165,0.048
166,0.407
167,0.048
168,0.407
169,0.047
170,0.407
171,0.047
172,0.406
173,0.047
174,0.405
175,0.047
176,0.404
177,0.047
178,0.402
179,0.047
180,0.397
181,0.047
182,0.396
183,0.047
184,0.396
185,0.047
186,0.395
187,0.046
188,0.394
189,0.046
190,0.392
191,0.046
192,0.391
193,0.046
194,0.390
195,0.046
196,0.390
197,0.046
198,0.389
199,0.046
200,0.388
201,0.045
202,0.386
203,0.045
204,0.385
205,0.045
206,0.383
207,0.045
208,0.382
209,0.045
210,0.381
211,0.045
212,0.378
213,0.045
214,0.377
215,0.045
216,0.376
217,0.045
218,0.376
219,0.045
220,0.375
221,0.044
222,0.373
223,0.044
224,0.372
225,0.044
226,0.371
227,0.044
228,0.371
229,0.044
230,0.371
231,0.044
232,0.370
233,0.043
234,0.370
235,0.043
236,0.370
237,0.043
238,0.366
239,0.043
240,0.361
241,0.043
242,0.361
243,0.043
244,0.361
245,0.043
246,0.358
247,0.043
248,0.356
249,0.043
250,0.354
