"","Index","unlabeling","sfp normalized value","sfp-PfAcpH normalized value","AcpS normalized value","AcpS-PfAcpH normalized value","AcpS diff"
"1","A12","0","0.866937094331263","1.96200424175704","2.94255382312775","2.66484281563813","0.277711007489619"
"2","A13","0","0.510877260076139","1.15693131147489","2.53477506742023","2.18467857815656","0.35009648926367"
"3","A22","0","0.820118777701511","1.27918312681403","1.5300242798876","1.21343133135588","0.316592948531723"
"4","A23","1","0.316963589864156","0.0100561034138354","3.51107196321273","3.00026585071609","0.510806112496641"
"5","B5","0","0.304706607786267","2.04334174797407","1.93939158089621","1.72641731519252","0.212974265703686"
"6","B11","0","0.743152565559743","2.09549316800397","3.58314911969762","3.12285871294289","0.460290406754721"
"7","C24","0","-0.369774465924154","-0.368871904991732","2.29238610072804","2.56159294621714","-0.269206845489099"
"8","D9","0","-0.696964740221397","-0.272415164223432","2.00352601087568","1.59459870417715","0.408927306698531"
"9","D20","1","1.05064143308148","1.31651933402378","2.99365888931648","2.00076065882277","0.992898230493707"
"10","D22","0","0.106038223431753","0.784820405732423","2.00468655433399","2.09698489153331","-0.0922983371993271"
"11","D25","0","0.905773044152383","1.54478118837436","1.78236428942439","1.36907494788641","0.413289341537986"
"12","E2","0","0.465678554103211","0.989976608518194","1.60171458855306","3.16987077325911","-1.56815618470605"
"13","E9","0","-0.895766164022721","-0.346409376319662","1.59117092777229","1.22419470494254","0.366976222829751"
"14","E19","0","0.411057184701834","-0.127408491624611","1.83642421448923","1.55746670107423","0.278957513414998"
"15","E28","0","1.29933264943675","1.38435125949315","1.98739363372479","1.62041935038771","0.366974283337081"
"16","F4","0","-0.105118515951627","0.490983402608817","2.55993663729282","3.19030973267633","-0.630373095383509"
"17","F16","0","-0.297100222022968","0.468509180793245","1.78564014968259","1.71182623732124","0.0738139123613413"
"18","G13","0","0.642256605963406","1.69725977967253","2.06806375028393","1.65553935508461","0.412524395199314"
"19","H7","0","-0.0971939923807394","2.05502319833503","2.16955780265519","2.90134259575357","-0.731784793098379"
"20","H13","0","-0.121731093831617","0.294936158613023","1.5197275432469","1.23344499029704","0.286282552949867"
"21","H20","0","1.02133226451675","1.1383625995898","3.30154036875849","2.88280930962334","0.418731059135145"
"22","H22","0","0.415597878864715","-0.28297407280796","1.52841927297718","1.20721540132103","0.321203871656153"
"23","I10","0","0.972402669709352","2.46582671593376","4.22353041534609","4.70848521284606","-0.484954797499967"
"24","I19","0","0.866688368408964","0.741789637636005","1.79215894698029","1.55873442364713","0.233424523333167"
"25","I21","0","0.955078620005113","0.488492763042367","1.93203324152228","1.62793571841669","0.30409752310559"
"26","J11","0","0.801418058938973","1.69984396438702","1.68084554463913","1.43954396522887","0.241301579410255"
"27","L13","0","1.137279034574","1.77544013714336","2.07033545237252","1.79323038421186","0.277105068160665"
"28","L24","0","1.31547091276724","-0.674542369341852","2.23005421697104","1.8438084254428","0.386245791528245"
"29","M18","1","1.38700564488487","2.22665515869351","2.36489948986038","1.59495039495544","0.76994909490494"
"30","M19","0","1.45792723868242","0.264475519783902","1.58545051852746","1.1746144840593","0.410836034468157"
"31","M22","1","1.20059424260825","-0.848583117262252","1.61326240750342","0.776484165327135","0.83677824217628"
"32","M27","0","1.25802679336397","1.82761494346027","1.51660806827742","1.07110289126842","0.445505177008997"
"33","N7","0","0.18902591662264","1.63461960991914","1.50252516148906","1.83594854549084","-0.333423384001771"
"34","N16","1","1.09156552378515","0.917631129656092","2.08748844930235","1.47010834751865","0.617380101783696"
"35","O10","0","0.572144817494266","1.62102048402345","1.69444283395202","1.48126430616015","0.213178527791872"
"36","O18","0","0.478947792841616","-0.49069107402121","2.18736926395852","1.88349223140213","0.303877032556394"
"37","O23","1","1.29825098089094","1.62333572643733","1.54900451545391","0.979319776990673","0.569684738463237"
"38","Q9","0","0.903002353064459","2.36647007557635","2.46594084797486","2.98814478714813","-0.522203939173274"
"39","Q16","0","0.698752096267679","-0.366486503716823","1.69897800732454","1.3849501060412","0.314027901283338"
"40","R5","0","1.12665323180048","3.7185599521407","4.4396713459494","4.6306715834361","-0.191000237486706"
"41","R10","0","0.685691093185151","1.43309997476325","1.6909118187491","1.60149347920265","0.0894183395464452"
"42","R21","0","1.39622585698122","3.54781667068856","2.14126029620377","2.30693610731569","-0.165675811111921"
"43","R22","0","1.23505724365595","2.30335048693927","1.54883989936053","1.46799820284893","0.0808416965116043"
