TS,treatment,spot
1,sfp_1,B14
1,sfp_1,C2
1,sfp_1,C24
1,sfp_1,E22
1,sfp_1,I10
1,sfp_1,J12
1,sfp_1,E4
1,sfp_2,B16
1,sfp_2,B27
1,sfp_2,C2
1,sfp_2,C5
1,sfp_2,C14
1,sfp_2,F12
1,sfp_2,H2
1,AcpS_1,B16
1,AcpS_1,B27
1,AcpS_1,C2
1,AcpS_1,D14
1,AcpS_1,G3
1,AcpS_1,H22
1,AcpS_1,I6
1,AcpS_1,J22
1,AcpS_2,B6
1,AcpS_2,C25
1,AcpS_2,D17
1,AcpS_2,E30
1,AcpS_2,F8
1,AcpS_2,G2
1,AcpS_2,H22
1,AcpS_2,I10
2,sfp_1,A26
2,sfp_1,C3
2,sfp_1,F8
2,sfp_1,F15
2,sfp_1,H15
2,sfp_1,J30
2,sfp_1,K19
2,sfp_1,M19
2,sfp_1,S25
2,sfp_2,B12
2,sfp_2,F9
2,sfp_2,G16
2,sfp_2,H23
2,sfp_2,I4
2,sfp_2,L17
2,sfp_2,M1
2,sfp_2,P24
2,sfp_2,R30
2,sfp_2,T1
3,sfp_1,A18
3,sfp_1,B7
3,sfp_1,C6
3,sfp_1,D30
3,sfp_1,F6
3,sfp_1,H2
3,sfp_1,J16
3,sfp_1,L1
3,sfp_1,O20
3,sfp_2,A15
3,sfp_2,C23
3,sfp_2,D7
3,sfp_2,F24
3,sfp_2,H14
3,sfp_2,J2
3,sfp_2,L1
3,sfp_2,O20
3,sfp_2,P30
3,sfp_2,Q5
3,sfp_2,R30
3,sfp_2,S14
3,AcpS_1,B26
3,AcpS_1,C2
3,AcpS_1,D30
3,AcpS_1,F6
3,AcpS_1,I25
3,AcpS_1,J4
3,AcpS_1,L16
3,AcpS_1,Q27
3,AcpS_1,R1
3,AcpS_1,S30
3,AcpS_2,A18
3,AcpS_2,B3
3,AcpS_2,C17
3,AcpS_2,D29
3,AcpS_2,F6
3,AcpS_2,H30
3,AcpS_2,J1
3,AcpS_2,L16
3,AcpS_2,N13
3,AcpS_2,P27
3,AcpS_2,S30
4,sfp_1,A5
4,sfp_1,B13
4,sfp_1,D19
4,sfp_1,G4
4,sfp_1,I15
4,sfp_1,K24
4,sfp_1,M7
4,sfp_1,O30
4,sfp_1,R30
4,sfp_1,T30
4,sfp_2,A5
4,sfp_2,C1
4,sfp_2,E17
4,sfp_2,G26
4,sfp_2,J12
4,sfp_2,M5
4,sfp_2,Q18
4,sfp_2,R30
4,sfp_2,T30
4,AcpS_1,C7
4,AcpS_1,J1
4,AcpS_1,G22
4,AcpS_1,G23
4,AcpS_1,J23
4,AcpS_1,P12
4,AcpS_1,L20
4,AcpS_1,N30
4,AcpS_1,P4
4,AcpS_1,R1
4,AcpS_2,A5
4,AcpS_2,B19
4,AcpS_2,D1
4,AcpS_2,F14
4,AcpS_2,I2
4,AcpS_2,L19
4,AcpS_2,N23
4,AcpS_2,P9
4,AcpS_2,R30
4,AcpS_2,T7
5,sfp_1,C1
5,sfp_1,F2
5,sfp_1,K16
5,sfp_1,M29
5,sfp_1,N15
5,sfp_1,P21
5,sfp_1,R11
5,sfp_1,S3
5,sfp_1,R30
5,sfp_1,T3
5,sfp_2,C1
5,sfp_2,C29
5,sfp_2,E20
5,sfp_2,F25
5,sfp_2,J30
5,sfp_2,K16
5,sfp_2,M11
5,sfp_2,O30
5,sfp_2,P29
5,sfp_2,T1
5,AcpS_1,L12
5,AcpS_1,L30
5,AcpS_1,M29
5,AcpS_1,N17
5,AcpS_1,O29
5,AcpS_1,O30
5,AcpS_1,P6
5,AcpS_1,R6
5,AcpS_1,S30
5,AcpS_1,T10
5,AcpS_2,C1
5,AcpS_2,C29
5,AcpS_2,F29
5,AcpS_2,L1
5,AcpS_2,L2
5,AcpS_2,M26
5,AcpS_2,N17
5,AcpS_2,O29
5,AcpS_2,O30
5,AcpS_2,P5
5,AcpS_2,T4
5,AcpS_2,S30
