0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
1,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
