,Data,Data
-13.8408,-11.23816,
,,
-13.46226,13.56124,
-11.87508,1.987953,
-11.69286,6.339345,
-11.3231,-16.4178,
-11.28252,-12.27254,
,,
-11.0526,-6.704354,
,,
-10.90736,4.200903,
-10.87505,-15.53683,
-10.81304,6.949086,
,,
,,
-10.73595,-15.56961,
,,
,,
-10.64122,1.116837,
-10.59823,-6.416703,
-10.58896,-17.84459,
-10.50887,-6.203722,
-10.47531,-16.25148,
,,
,,
-10.45011,-6.258208,
-10.31006,-16.21524,
,,
,,
,,
-10.22344,-8.042912,
-10.19714,-4.007833,
,,
,,
,,
,,
,,
-10.12613,-6.352771,
-10.10416,5.15449,
-10.09573,8.039524,
-10.07108,-15.4495,
-10.06723,-7.041152,
,,
,,
-10.00683,-11.64938,
,,
,,
-9.97717,5.861804,
-9.975154,-6.723792,
-9.972388,0.1412495,
-9.958529,-11.98348,
,,
,,
-9.931437,6.138772,
-9.910106,-16.04109,
,,
,,
-9.86462,1.685847,
-9.791156,-11.1834,
-9.742937,4.293433,
,,
,,
,,
,,
-9.657989,4.535997,
-9.651416,-10.55365,
,,
,,
-9.590827,-11.26347,
-9.582765,-16.10172,
,,
,,
-9.516586,-14.92445,
-9.491574,0.415394,
-9.464205,-15.50512,
-9.444462,5.909842,
,,
,,
-9.356838,-13.9252,
-9.337936,6.669742,
,,
,,
-9.294709,5.177866,
-9.290881,-10.42618,
-9.25915,0.9668996,
-9.242636,8.068388,
,,
,,
,,
,,
-9.168093,-14.69274,
-9.162478,1.408678,
-9.14875,0.6904833,
-9.146206,6.832429,
,,
,,
,,
-9.05638,-14.5062,
-9.036139,7.000206,
-8.982252,-15.8655,
-8.974052,6.022456,
-8.956693,-11.16241,
,,
,,
-8.863713,-15.54113,
-8.835918,0.8040176,
-8.774471,0.532166,
-8.771163,-15.63629,
,,
,,
,,
,,
-8.544225,-15.39819,
-8.501048,6.509022,
-8.44809,6.337894,
,,
,,
,,
,,
-8.270253,-13.77373,
,,
,,
,,
-8.163287,0.6040593,
,,
,,
,,
-7.787896,-11.34486,
-7.766268,-9.546629,
-7.76127,-17.56257,
,,
,,
-7.565521,1.796547,
-7.558333,13.89877,
-7.549718,7.220613,
-7.544683,-6.290189,
-7.44451,13.20091,
-7.382236,-10.26448,
,,
,,
,,
-6.933434,8.525485,
-6.866066,5.430054,
-6.858635,-9.593407,
-6.750207,-9.707999,
-6.706304,8.469175,
-6.701137,-14.9851,
-6.698026,13.65898,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-6.483436,-10.15448,
-6.436001,14.68385,
-6.392684,-7.97346,
-6.374862,-0.9669939,
-6.366682,-4.379907,
-6.342965,8.334686,
-6.331203,-7.423407,
-6.317627,8.244877,
,,
,,
,,
-6.215599,-8.671982,
-6.202647,14.399,
,,
,,
,,
,,
,,
-6.132984,-5.086974,
-6.082724,-7.416162,
-6.068403,-9.94873,
-6.058057,-10.04211,
-6.030736,14.52203,
-6.022202,-9.644341,
-6.019574,2.981428,
,,
,,
,,
,,
-5.947678,3.016122,
-5.925683,-7.589616,
,,
,,
,,
-5.819963,7.956949,
-5.800215,-5.635302,
-5.794096,13.86872,
,,
,,
,,
,,
,,
,,
-5.706342,-8.339815,
-5.684475,15.87317,
,,
,,
,,
,,
