,Data,Data
,,
,,
,,
-13.81245,-12.6613,
-13.81239,-11.33182,
,,
,,
,,
,,
,,
-13.78284,-12.47851,
,,
,,
-13.47746,-11.42646,
,,
-13.36754,-7.241957,
,,
,,
,,
,,
-13.35801,-7.150817,
-13.33984,4.09547,
,,
-13.03701,-11.79439,
,,
-12.67716,-11.32436,
,,
-12.66638,7.120638,
,,
,,
-11.32322,4.413258,
-11.23962,10.75247,
-11.10091,-17.08009,
,,
-11.00778,3.441677,
-11.00051,-12.68061,
,,
-10.92933,-12.66385,
-10.8382,2.001821,
-10.72437,9.679952,
,,
,,
,,
,,
,,
,,
,,
-10.27971,11.86422,
,,
-10.24992,-18.28521,
,,
-10.19566,-6.42126,
,,
,,
-10.05757,3.089795,
,,
-10.01249,-14.44185,
-9.927352,10.9315,
,,
,,
-9.742471,-14.82517,
,,
-9.710594,12.87788,
,,
-9.617842,-17.16896,
,,
,,
,,
-9.50375,-6.120737,
,,
-9.455997,-16.46635,
,,
,,
-9.412927,-15.90204,
,,
-9.366791,-10.19794,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-9.108753,-7.458232,
,,
,,
,,
-8.839303,-13.52044,
,,
,,
,,
,,
,,
,,
,,
,,
-8.672606,-2.824311,
,,
,,
-8.649518,13.05159,
-8.604733,-12.69644,
,,
,,
,,
-8.530431,5.11916,
,,
,,
-8.496181,-15.91405,
,,
-8.47068,-3.094406,
-8.443106,3.501407,
,,
-8.414469,-14.10764,
-8.369728,-8.535505,
-8.30598,13.61163,
,,
-8.236404,-14.36721,
-8.212262,10.69666,
,,
-8.131557,-4.394217,
,,
-8.09303,-12.45241,
-8.072827,-9.263805,
,,
-8.035048,-13.72054,
-8.032521,15.52013,
,,
,,
-7.981484,4.797618,
,,
,,
,,
-7.91427,-2.872383,
,,
,,
,,
,,
,,
,,
-7.868609,-14.4137,
,,
,,
,,
,,
,,
,,
-7.708397,12.46031,
-7.695557,-3.292681,
-7.666022,-12.97217,
,,
,,
,,
-7.577537,-6.163831,
-7.554646,9.136461,
,,
,,
-7.404007,14.01978,
,,
,,
,,
-7.354565,-3.244697,
-7.330249,-13.28671,
,,
-7.312787,-12.19135,
,,
,,
-7.28051,16.02191,
,,
-7.262375,-16.07512,
,,
,,
-7.152278,-13.21205,
-7.15012,13.59525,
,,
,,
-6.96699,-15.7618,
,,
-6.928617,-0.1850619,
,,
,,
-6.827785,8.78766,
,,
,,
-6.795074,7.673044,
,,
-6.692224,-15.40744,
,,
,,
,,
-6.646506,-13.71375,
,,
,,
,,
-6.427925,13.58046,
,,
,,
-6.372547,-0.965875,
,,
-6.29968,-4.547772,
,,
-6.284445,8.40127,
-6.274482,-17.31603,
-6.182529,9.574116,
,,
,,
,,
,,
-6.056495,3.028672,
,,
,,
-6.051539,15.37479,
-6.04755,-16.35283,
,,
-6.032938,3.02762,
,,
,,
,,
-5.994469,14.81594,
,,
,,
-5.96549,14.1366,
,,
,,
-5.872851,-2.887552,
-5.840513,-17.44291,
,,
,,
-5.766286,-14.24599,
-5.748616,-2.54843,
-5.733968,13.69432,
,,
,,
,,
,,
,,
,,
,,
-5.580722,-14.91754,
,,
,,
