,Mutation,Mutation
,,
-13.96208,-12.6828,
,,
,,
,,
-13.49027,-14.67529,
,,
,,
,,
,,
,,
-12.6043,-15.90318,
-12.54038,-13.88962,
-12.50728,8.268995,
-12.1945,-9.868357,
-12.14272,-16.60433,
-12.06205,-10.18404,
,,
,,
-11.94447,-15.18592,
,,
-11.65371,-9.155931,
-11.56139,8.929419,
,,
,,
-10.92896,5.855724,
,,
,,
,,
-10.32127,-9.18977,
,,
,,
-9.647882,-17.02758,
-9.369245,0.6100369,
-9.263363,-7.159102,
-9.175527,-11.44483,
-9.108801,-17.7355,
-9.058898,-0.3641432,
-9.001596,4.96354,
,,
-8.816704,-18.52513,
,,
,,
-8.351497,-11.75659,
-8.245328,-17.83525,
-8.114102,-16.1566,
,,
,,
,,
-7.718941,15.08755,
,,
,,
-7.239232,-16.94274,
,,
,,
-6.84221,2.420994,
-6.813439,-14.16945,
-6.652942,-15.95924,
,,
,,
,,
-6.464173,-10.82326,
,,
-5.913498,2.756279,
,,
-5.788895,-11.13391,
-5.743536,2.385042,
,,
,,
,,
,,
-5.218217,-17.61294,
-4.044981,-6.319036,
-3.934396,-11.13464,
-3.856212,-16.31369,
,,
-3.44476,-1.08094,
,,
-2.830692,-7.936476,
-2.829127,-12.27732,
-2.539783,-8.021077,
-2.225025,-12.73689,
,,
,,
,,
-0.527401,-2.936726,
-0.5265892,-2.946966,
-0.3996751,10.33632,
-0.08289547,-6.420828,
0.2332681,-14.86867,
0.7344207,11.69142,
1.049076,-14.42586,
1.300961,-0.8723448,
1.408382,-7.144144,
2.186814,-12.94969,
,,
,,
4.763521,-1.392526,
5.195138,-10.85874,
,,
8.98831,-6.958855,
