,POOL,POOL
-0.9784673,-22.44943,
-3.296212,16.03732,
-6.221781,0.4241327,
7.29719,1.978591,
9.296268,4.432103,
10.94584,-3.875543,
6.818151,-4.342312,
10.29333,-2.855308,
10.73329,-4.229636,
7.276078,-3.552853,
8.78256,-1.9986,
6.043887,-3.532412,
0.817819,6.378796,
-2.558023,7.175911,
12.94456,-0.9363073,
4.264809,9.366128,
-14.0809,4.869835,
9.155543,3.836789,
6.340637,1.98936,
-0.8590032,6.946558,
8.590283,5.424576,
4.824186,12.41992,
-6.385512,6.256701,
8.260069,2.89849,
-0.94087,6.202336,
4.7922,-8.530683,
10.887,-2.234941,
-8.286771,11.55959,
2.169063,-11.29002,
-4.325805,12.04238,
6.248752,7.735312,
-1.342688,-0.0164346,
5.308507,-13.76415,
-10.51731,-9.698422,
5.114908,2.377455,
-4.624262,12.84391,
2.336068,-10.59006,
-9.296379,-7.1216,
1.839926,-7.883008,
4.632057,10.7169,
-2.637646,-15.54287,
-7.324723,11.17687,
-4.165869,-17.09677,
-6.719166,15.61899,
0.9450378,-3.826524,
3.099823,5.303727,
1.95252,-7.32581,
2.382495,9.407781,
-12.17542,2.756009,
-0.8447993,1.132245,
-5.523217,10.68218,
-1.044854,-11.47002,
-12.35763,4.007035,
1.014536,-4.68609,
7.714605,6.513234,
-7.506854,-16.71372,
-0.4697919,-8.97331,
-9.576745,6.497565,
10.52168,-0.1757352,
-1.931732,-4.577322,
-3.67013,4.671498,
1.489353,-15.48354,
-8.166952,3.939301,
1.461303,3.487404,
-9.082161,5.729335,
-1.828617,-9.406026,
-0.6508567,-3.117077,
4.549555,3.357108,
-0.4701369,-14.92532,
0.3008105,8.074113,
6.672592,7.078403,
-11.09138,7.723108,
8.539543,-9.590667,
2.192367,-3.525233,
0.4783996,-8.041685,
2.841758,-15.70295,
-8.657288,1.452073,
-1.802317,-9.701002,
3.01451,-2.36707,
-1.057703,4.487512,
-3.256126,-1.453686,
-5.877934,0.8205525,
5.791675,-2.676523,
-2.967997,-14.46752,
-11.75669,-16.13627,
3.900721,-5.097945,
-2.629666,1.069795,
-9.25141,7.186697,
2.928688,-8.472596,
-2.564178,-10.12471,
6.733287,3.381495,
-3.036216,5.71913,
2.036116,-6.569072,
-8.344291,9.484831,
11.49997,-0.9592673,
2.67757,-7.934832,
-7.348694,0.01119033,
2.510555,-5.694972,
-0.8721906,-8.751006,
-10.8655,7.521272,
