,Predict-then-Optimize,Predict-then-Optimize
-2.037223,-20.12662,
,,
-1.963888,-20.2273,
,,
-1.948747,-20.01402,
,,
-1.933447,-21.34876,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
-1.323321,-19.66986,
,,
-1.215452,-19.53182,
,,
-1.195061,-19.31639,
,,
,,
-1.099226,-20.71145,
,,
-1.017192,-20.90962,
,,
-0.8421144,-21.60178,
,,
,,
-0.7441854,-21.66683,
-0.6930993,-21.78807,
,,
-0.6801585,-20.37728,
,,
,,
-0.5151172,-19.42631,
-0.4831643,-19.80273,
,,
-0.4315526,-21.69742,
,,
,,
-0.3327264,-20.47706,
,,
,,
-0.2573381,-21.32232,
-0.2489684,-19.50455,
,,
-0.1785014,-20.27904,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.2452212,-21.76498,
,,
0.2855534,-20.63965,
,,
,,
0.3385597,-21.67919,
,,
0.3568303,-21.61771,
0.4940293,-19.25214,
,,
0.5683111,-21.4565,
,,
0.5804099,-21.11761,
,,
0.6155496,-20.74522,
,,
0.6630975,-20.24531,
,,
0.7117693,-21.45366,
,,
0.7873926,-21.12291,
,,
0.8915332,-19.44563,
,,
,,
,,
,,
,,
,,
,,
1.17145,-19.72299,
,,
1.208,-19.38877,
