,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
1,5,4,6,6,6,5,1,6,6,1,1,3,5,6,6,5,1,1,6,5,6,1,5,6,5,5,5,1,5,6,6,6,3,6,1,6,5,1
2,5,4,6,6,6,5,1,6,1,1,1,3,5,6,6,5,1,1,6,5,6,1,5,6,5,5,5,1,5,6,6,6,3,6,1,6,5,1
3,1,1,6,5,6,4,5,1,1,6,1,4,3,5,6,5,1,1,6,5,6,1,5,6,5,5,5,1,5,6,6,4,3,6,5,1,5,6
4,5,6,6,6,4,5,6,5,6,1,6,3,1,4,6,5,1,1,6,5,6,5,5,6,5,5,5,1,5,6,6,4,3,6,5,1,5,1
5,5,6,6,1,6,5,4,6,6,1,1,3,5,6,6,5,1,1,6,5,6,1,5,6,5,5,5,1,5,6,6,6,3,6,1,6,5,1
6,5,6,1,1,6,5,1,1,6,4,1,3,5,6,6,5,6,5,6,5,1,5,5,6,5,1,5,6,1,6,6,4,3,1,5,4,5,1
7,1,5,1,5,6,6,5,1,6,6,1,6,3,1,6,5,1,5,6,5,1,1,5,5,5,1,1,4,3,4,6,6,5,1,5,6,5,1
8,6,5,6,5,6,6,5,1,1,1,1,1,3,6,4,3,1,5,6,1,1,1,5,1,5,1,1,6,3,1,6,3,5,1,4,6,5,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,6,5,1,1,6,3,5,6,5,4,3,6,6,5,1,3,6,5,1,5,5,6,1,1,1,4,5,6,1,4,3,1,5,1,5,1
10,1,5,6,5,1,6,5,1,6,1,1,5,5,1,6,5,1,5,6,5,5,1,5,1,5,5,1,6,3,4,6,6,5,6,5,6,5,1
11,6,5,6,6,5,1,5,6,1,1,6,1,5,4,6,5,1,5,6,5,6,4,1,6,5,5,5,5,5,5,6,6,5,1,5,6,5,1
12,5,5,5,4,4,1,5,6,1,6,4,1,3,5,6,3,1,5,6,5,1,5,5,6,5,4,1,4,5,6,1,6,1,1,5,4,5,1
13,6,5,1,5,6,6,5,6,5,6,6,6,5,5,3,5,1,5,6,5,4,1,5,6,5,5,6,4,3,4,1,6,1,1,6,5,1,3
