"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,5,5,1,2,7,1,5,5,2,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.997335784688018
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,3,3,4,4,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.996501630669532
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,4,1,1,1,6,3,5,5,5,5,5,1,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.996393526216185
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,3,3,8,4,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.993532574099101
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,5,4,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.991828446517908
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,5,5,1,5,5,1,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.991805036487213
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,4,1,5,6,5,5,5,3,5,5,1,5,5,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.990760192779052
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,6,4,1,5,6,5,5,5,1,5,5,1,5,5,5,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.990439200439734
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,1,3,7,1,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.988836069276503
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,8,3,5,5,7,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.988199569551117
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,6,3,5,4,7,4,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.988086215666159
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,8,4,1,5,6,5,5,5,1,1,5,1,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.985320822521798
-1,-1,-1,-1,-1,-1,-1,2,8,5,7,3,7,1,1,5,6,5,5,5,1,7,5,4,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.984935912781029
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,7,1,7,1,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.983966219535546
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,1,3,8,1,7,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.983773013795621
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,3,1,1,5,6,2,5,5,5,5,5,1,7,5,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.982575978989327
