"","L19","L18","L17","L16","L15","L14","L13","L12","L11","L10","L9","L8","L7","L6","L5","L4","L3","L2","L1","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","pred_1"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,8,4,1,5,7,4,5,3,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.812497390443341
"2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,5,5,4,2,8,5,5,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.554933202425505
"3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,5,5,7,5,3,5,4,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.901468089265734
"4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,5,1,2,5,5,5,7,1,3,1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.633498840662713
"5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,1,5,8,6,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.284814247636593
"6",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,7,6,6,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.290466110098578
"7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,4,6,2,6,1,1,5,1,7,5,4,7,6,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.447809135928819
"8",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,3,5,5,1,1,3,2,1,4,1,7,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.528660528097212
"9",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,6,1,5,2,1,8,3,7,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.210024693799679
"10",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,5,2,1,5,3,4,2,4,1,3,4,5,1,7,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.20774093590471
"11",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,5,5,1,2,5,3,1,7,3,7,5,4,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.744589863464502
"12",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,5,1,3,4,1,8,5,3,5,3,6,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0409619784337762
"13",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,4,3,4,5,5,2,3,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0822417266308477
"14",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,1,5,6,5,1,1,5,7,8,5,7,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00455298751270295
"15",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,5,1,8,1,4,5,7,5,5,5,1,7,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00102472875744014
"16",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,8,3,1,5,6,5,8,4,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0555929169966561
"17",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,3,4,5,7,5,4,1,4,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.73084492654551e-05
"18",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,5,6,2,5,4,1,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0904002641682902
"19",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,5,5,5,4,5,5,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.165080033339792
"20",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,2,5,5,5,6,4,3,1,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00878069717218206
"21",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,5,5,5,5,5,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00558092424402176
"22",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,7,1,1,8,6,1,1,5,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.023027269556964
"23",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,6,5,1,8,1,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.14238841230897e-05
"24",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,1,2,5,5,5,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00358959477979219
"25",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,5,1,5,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0022934532999962
"26",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,6,5,5,5,1,3,5,8,7,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.321794154910987
"27",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,4,1,4,5,4,5,8,5,1,7,5,1,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.197946236916553
"28",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,3,6,1,7,7,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.010880188323667
"29",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,5,1,5,1,8,5,1,2,5,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31225736133011
"30",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,4,4,1,1,6,5,1,5,1,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0972895468197471
"31",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,7,1,5,3,6,7,1,5,2,5,5,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.41271813749978e-05
"32",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,8,7,5,1,2,6,5,1,5,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.115723847108131
"33",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,5,6,5,2,1,5,8,5,1,5,7,7,3,1,5,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.456136983208017
"34",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,5,2,1,5,8,5,1,4,5,7,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.92837371005928e-06
"35",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,1,3,5,5,1,5,1,7,1,1,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.38593047668203e-06
"36",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,5,1,5,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00114228341676736
"37",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,6,3,2,5,5,6,5,5,5,1,2,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.177734772257278
"38",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,1,7,1,7,5,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.15640176988399e-05
"39",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,5,1,4,7,7,5,5,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.16153557396983e-05
"40",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,1,5,1,4,1,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00208300753506079
"41",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,5,8,7,1,5,1,4,1,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0137811237567558
"42",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,3,6,5,1,5,5,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000357230224248464
"43",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,6,5,6,5,5,5,5,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0905068576698767
"44",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,4,5,6,3,1,7,7,7,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000271859503779226
"45",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,3,7,1,3,3,5,1,5,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00520382543186292
"46",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,3,5,1,3,7,5,5,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.335426474850607
"47",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,8,5,3,5,1,5,1,7,5,1,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0222670799150707
"48",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,6,5,1,5,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0377645431145027
"49",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,6,5,1,5,1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00163655424166332
"50",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,2,1,1,6,5,1,5,1,7,5,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.3069588273176
"51",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,8,7,2,1,2,7,5,1,5,1,5,2,6,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.64867960691578e-05
"52",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,4,1,5,1,5,5,5,4,8,8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0823778004296176
"53",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,3,1,4,1,4,3,5,1,4,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.125762762360369
