0,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19
1,,,,,,,,,,,,,,,,6,6,2,1,4,1,7,5,1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,1,3,1,5,1,7,1,7,3,5,4,,,,,,,,,,,,,
7,,,,,,,,,,,,7,1,5,1,5,2,8,1,5,1,7,1,1,5,5,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,2,1,5,1,7,5,8,5,5,2,4,5,,,,,,,,,
10,,,,,,,,,,,,,,,1,3,1,6,5,5,1,7,5,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,5,4,5,5,5,1,7,2,1,4,5,7,,,,,,,,,,,
18,,,,,,,,,,,,,,,1,5,3,4,8,5,5,5,5,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,3,5,1,5,7,8,5,7,5,4,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,2,1,5,1,5,5,4,1,6,8,,,,,,,,,,,
23,,,,,,,,,,,,,,,1,1,2,1,5,7,1,7,5,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,5,1,7,5,3,5,7,4,5,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,1,6,3,5,5,5,7,5,1,2,5,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,3,5,1,5,1,7,7,5,1,5,6,8,4,1,1,,,,,,,
47,,,,,,,,,,,,,,,,,,5,3,5,1,7,5,8,5,7,,,,,,,,,,,,
49,,,,,,,,,,,,,,,1,5,6,2,6,7,1,7,5,5,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,1,5,1,5,5,5,5,5,5,4,3,4,5,2,,,,,,,,
53,,,,,,,,,,,,,,,,,,,5,3,7,7,5,4,5,5,8,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,2,1,3,1,7,5,1,4,6,,,,,,,,,,,,
63,,,,,,,,,,,,,,,8,3,6,5,6,7,1,8,5,1,5,5,5,,,,,,,,,,,
64,,,,,,,,,,,,,,,,2,7,4,5,5,1,5,5,1,2,5,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,5,6,5,1,3,6,3,4,7,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,2,7,5,1,3,5,3,5,1,3,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,2,5,5,4,7,5,1,5,7,5,2,8,,,,,,,,,
79,,,,,,,,,,,,,,,,,7,5,1,5,7,7,5,7,4,7,1,1,,,,,,,,,,
80,,,,,,,,,,,,,,,,4,6,4,1,5,7,7,1,1,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,6,1,1,3,3,7,3,1,5,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,4,6,5,1,7,1,7,8,8,7,8,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,4,5,5,5,1,7,3,1,7,3,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,5,1,8,1,2,3,1,7,7,7,5,,,,,,,,,,
98,,,,,,,,,,,,,,,,2,5,5,1,5,1,5,7,1,,,,,,,,,,,,,,
